"","Stand_ID","Tree_Count","Species","DBH","Ht","Age","df"
"376","hoo_doo_4",33.71,"DF",0.3302,0.329184,6,0
"377","hoo_doo_4",33.71,"DF",0.3556,0.118872,4,0
"380","hoo_doo_4",33.71,"DF",0.381,0.569976,10,0
"385","hoo_doo_4",33.71,"DF",0.254,1.328928,13,0
"386","hoo_doo_4",33.71,"DF",0.508,1.118616,12,0
"389","hoo_doo_4",33.71,"DF",0.4826,0.249936,7,0
"393","hoo_doo_4",33.71,"DF",0.3556,1.258824,11,0
"395","hoo_doo_4",33.71,"DF",0.7112,2.161032,14,0
"399","hoo_doo_4",33.71,"DF",0.5334,0.618744,12,0
"400","hoo_doo_4",33.71,"DF",0.508,0.530352,11,0
